epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2338,1.04794,2.01659,1.42836,0.65194,0.63462,0.58877,0.42946,0.96369,1.44881,1.3064,0.070082,0.00332423,0.00332423
2,184.731,0.96091,1.38251,1.33556,0.58178,0.64904,0.59422,0.38169,1.18967,1.74547,1.51575,0.04006,0.00663559,0.00663559
3,275.07,1.04641,1.38111,1.39883,0.60389,0.62019,0.53916,0.35185,1.29343,1.8736,1.69317,0.010016,0.00992495,0.00992495
4,364.98,1.11213,1.40602,1.43749,0.62738,0.61538,0.57231,0.38286,1.22961,1.51664,1.62005,0.009901,0.009901,0.009901
5,454.911,1.03562,1.29097,1.38974,0.62933,0.67341,0.63719,0.46498,1.04195,1.20975,1.40665,0.009868,0.009868,0.009868
6,544.774,0.94736,1.15045,1.32408,0.63738,0.76053,0.64856,0.4695,0.96038,1.19801,1.29606,0.009835,0.009835,0.009835
7,634.859,0.89967,1.07491,1.28421,0.63758,0.80288,0.68517,0.50205,0.88185,1.06453,1.28588,0.009802,0.009802,0.009802
8,724.9,0.83236,1.00586,1.24161,0.55866,0.84615,0.69508,0.53214,0.78638,1.05357,1.20294,0.009769,0.009769,0.009769
9,814.86,0.7936,0.93117,1.21142,0.65098,0.83413,0.69277,0.5516,0.73615,0.95556,1.15347,0.009736,0.009736,0.009736
10,904.797,0.76695,0.89796,1.1879,0.63799,0.78606,0.68023,0.54483,0.72225,0.94848,1.12599,0.009703,0.009703,0.009703
11,994.52,0.73617,0.86197,1.17109,0.66408,0.80529,0.66668,0.53967,0.77524,0.9246,1.20618,0.00967,0.00967,0.00967
12,1084.38,0.71214,0.83298,1.15272,0.69585,0.78644,0.71562,0.56967,0.71237,0.89004,1.13474,0.009637,0.009637,0.009637
13,1174.29,0.6785,0.78301,1.13346,0.68786,0.7893,0.71134,0.57908,0.67519,0.85249,1.08701,0.009604,0.009604,0.009604
14,1264.19,0.66584,0.7676,1.12155,0.66199,0.81917,0.71128,0.57651,0.64858,0.84492,1.07049,0.009571,0.009571,0.009571
15,1354.13,0.65636,0.76362,1.11517,0.70324,0.80321,0.71411,0.58275,0.62313,0.82954,1.05637,0.009538,0.009538,0.009538
16,1444.02,0.63652,0.74028,1.10127,0.70005,0.86058,0.7376,0.61434,0.63452,0.78986,1.0519,0.009505,0.009505,0.009505
17,1533.85,0.62427,0.72538,1.09601,0.69272,0.84615,0.72883,0.60209,0.61914,0.8332,1.05482,0.009472,0.009472,0.009472
18,1623.63,0.60437,0.69658,1.08237,0.71769,0.84856,0.73372,0.60765,0.63811,0.82941,1.10763,0.009439,0.009439,0.009439
19,1713.35,0.58946,0.67683,1.07083,0.72786,0.82692,0.73052,0.61776,0.57686,0.81466,1.03256,0.009406,0.009406,0.009406
20,1803.19,0.57471,0.66948,1.06215,0.71992,0.88359,0.73964,0.63815,0.56387,0.73249,1.03522,0.009373,0.009373,0.009373
